1) Essay							100x1
2) Letter Writing					50x1
3) Report Writing					50x1
4) Concise Writing					75x1
5) English Grammar and spelling		2x10
6) Use pair of words				3x10
7) Idioms							2x10
8) Plural forms						1x5
9) Sound of animals and birds		2x5
10) Names of the offspring			2x5
11) Past participate of word		1x5
12) Foreign expressions				1x5
13) Synonyms/Antonyms				5x1
14) Answer writing from paragraph	10x4
15) Make adjectives,nouns			1x5
16) Change into adjectives			1x5
17) Name of young ones				1x5
